User Input,Chatbot Response,Timestamp
What’s the price of Bitcoin,The current price of Bitcoin is $86804 USD.,2025-03-28 09:14:54
What’s the price of Bitcoin,The current price of Bitcoin is $86800 USD.,2025-03-28 09:15:16
What’s the price of Bitcoin,The current price of Bitcoin is $86800 USD.,2025-03-28 09:15:50
What’s the price of Bitcoin,The current price of Bitcoin is $86800 USD.,2025-03-28 09:15:54
What’s the price of Bitcoin,The current price of Bitcoin is $86800 USD.,2025-03-28 09:15:55
What’s the price of Bitcoin,The current price of Bitcoin is $86800 USD.,2025-03-28 09:16:03
price of bitcoin,The current price of Bitcoin is $86803 USD.,2025-03-28 09:19:18
goodbye,Adios! Stay decentralized!,2025-03-28 09:21:01
'What is the Fear and Greed Index,"Sorry, unexpected Fear & Greed Index data type: <class 'dict'>.",2025-03-28 09:23:54
'Hello!',Good morning! Hope your portfolio’s green!,2025-03-28 09:25:50
'What is the Fear and Greed Index?',The current Fear & Greed Index is 33 (Fear) as of 2025-03-28T03:53:10.019Z.,2025-03-28 09:25:58
Hello!',Good morning! Hope your portfolio’s green!,2025-03-28 09:28:05
'How much is Solana?',The current price of Solana is $136.74 USD.,2025-03-28 09:28:11
